time_key,time_value,hours_24,hours_12,hour_minutes,day_minutes,seconds
95300,09:53:00,09,09,53,593,00
95400,09:54:00,09,09,54,594,00
95500,09:55:00,09,09,55,595,00
95600,09:56:00,09,09,56,596,00
95700,09:57:00,09,09,57,597,00
95800,09:58:00,09,09,58,598,00
95900,09:59:00,09,09,59,599,00
100000,10:00:00,10,10,00,600,00
100100,10:01:00,10,10,01,601,00
100200,10:02:00,10,10,02,602,00
100300,10:03:00,10,10,03,603,00
100400,10:04:00,10,10,04,604,00
100500,10:05:00,10,10,05,605,00
100600,10:06:00,10,10,06,606,00
100700,10:07:00,10,10,07,607,00
100800,10:08:00,10,10,08,608,00
100900,10:09:00,10,10,09,609,00
101000,10:10:00,10,10,10,610,00
101100,10:11:00,10,10,11,611,00
101200,10:12:00,10,10,12,612,00
101300,10:13:00,10,10,13,613,00
101400,10:14:00,10,10,14,614,00
101500,10:15:00,10,10,15,615,00
101600,10:16:00,10,10,16,616,00
101700,10:17:00,10,10,17,617,00
101800,10:18:00,10,10,18,618,00
101900,10:19:00,10,10,19,619,00
102000,10:20:00,10,10,20,620,00
102100,10:21:00,10,10,21,621,00
102200,10:22:00,10,10,22,622,00
102300,10:23:00,10,10,23,623,00
102400,10:24:00,10,10,24,624,00
102500,10:25:00,10,10,25,625,00
102600,10:26:00,10,10,26,626,00
102700,10:27:00,10,10,27,627,00
102800,10:28:00,10,10,28,628,00
102900,10:29:00,10,10,29,629,00
103000,10:30:00,10,10,30,630,00
103100,10:31:00,10,10,31,631,00
103200,10:32:00,10,10,32,632,00
103300,10:33:00,10,10,33,633,00
103400,10:34:00,10,10,34,634,00
103500,10:35:00,10,10,35,635,00
103600,10:36:00,10,10,36,636,00
103700,10:37:00,10,10,37,637,00
103800,10:38:00,10,10,38,638,00
103900,10:39:00,10,10,39,639,00
104000,10:40:00,10,10,40,640,00
104100,10:41:00,10,10,41,641,00
104200,10:42:00,10,10,42,642,00
104300,10:43:00,10,10,43,643,00
104400,10:44:00,10,10,44,644,00
104500,10:45:00,10,10,45,645,00
104600,10:46:00,10,10,46,646,00
104700,10:47:00,10,10,47,647,00
104800,10:48:00,10,10,48,648,00
104900,10:49:00,10,10,49,649,00
105000,10:50:00,10,10,50,650,00
105100,10:51:00,10,10,51,651,00
105200,10:52:00,10,10,52,652,00
105300,10:53:00,10,10,53,653,00
105400,10:54:00,10,10,54,654,00
105500,10:55:00,10,10,55,655,00
105600,10:56:00,10,10,56,656,00
105700,10:57:00,10,10,57,657,00
105800,10:58:00,10,10,58,658,00
105900,10:59:00,10,10,59,659,00
110000,11:00:00,11,11,00,660,00
110100,11:01:00,11,11,01,661,00
110200,11:02:00,11,11,02,662,00
110300,11:03:00,11,11,03,663,00
110400,11:04:00,11,11,04,664,00
110500,11:05:00,11,11,05,665,00
110600,11:06:00,11,11,06,666,00
110700,11:07:00,11,11,07,667,00
110800,11:08:00,11,11,08,668,00
110900,11:09:00,11,11,09,669,00
111000,11:10:00,11,11,10,670,00
111100,11:11:00,11,11,11,671,00
111200,11:12:00,11,11,12,672,00
111300,11:13:00,11,11,13,673,00
111400,11:14:00,11,11,14,674,00
111500,11:15:00,11,11,15,675,00
111600,11:16:00,11,11,16,676,00
111700,11:17:00,11,11,17,677,00
111800,11:18:00,11,11,18,678,00
111900,11:19:00,11,11,19,679,00
112000,11:20:00,11,11,20,680,00
112100,11:21:00,11,11,21,681,00
112200,11:22:00,11,11,22,682,00
112300,11:23:00,11,11,23,683,00
112400,11:24:00,11,11,24,684,00
112500,11:25:00,11,11,25,685,00
112600,11:26:00,11,11,26,686,00
112700,11:27:00,11,11,27,687,00
112800,11:28:00,11,11,28,688,00
112900,11:29:00,11,11,29,689,00
113000,11:30:00,11,11,30,690,00
113100,11:31:00,11,11,31,691,00
113200,11:32:00,11,11,32,692,00
113300,11:33:00,11,11,33,693,00
113400,11:34:00,11,11,34,694,00
113500,11:35:00,11,11,35,695,00
113600,11:36:00,11,11,36,696,00
113700,11:37:00,11,11,37,697,00
113800,11:38:00,11,11,38,698,00
113900,11:39:00,11,11,39,699,00
114000,11:40:00,11,11,40,700,00
114100,11:41:00,11,11,41,701,00
114200,11:42:00,11,11,42,702,00
114300,11:43:00,11,11,43,703,00
114400,11:44:00,11,11,44,704,00
114500,11:45:00,11,11,45,705,00
114600,11:46:00,11,11,46,706,00
114700,11:47:00,11,11,47,707,00
114800,11:48:00,11,11,48,708,00
114900,11:49:00,11,11,49,709,00
115000,11:50:00,11,11,50,710,00
115100,11:51:00,11,11,51,711,00
115200,11:52:00,11,11,52,712,00
115300,11:53:00,11,11,53,713,00
115400,11:54:00,11,11,54,714,00
115500,11:55:00,11,11,55,715,00
115600,11:56:00,11,11,56,716,00
115700,11:57:00,11,11,57,717,00
115800,11:58:00,11,11,58,718,00
115900,11:59:00,11,11,59,719,00
120000,12:00:00,12,12,00,720,00
120100,12:01:00,12,12,01,721,00
120200,12:02:00,12,12,02,722,00
120300,12:03:00,12,12,03,723,00
120400,12:04:00,12,12,04,724,00
120500,12:05:00,12,12,05,725,00
